longitude,latitude,Address,zipcode,ap_name,area,objectid
-71.05837045,42.3606151,"1 City Hall Square, Boston, MA",02108,DT-CITYHALL-AP1,Boston,3630
-71.06097644,42.30831005,"1 Parish St., Dorchester, MA",02122,DOT-MATHER-AP1,Dorchester,3602
-71.03830185,42.37239016,"10 Gove St., East Boston MA",02128,EB-10GOVE-AP1,East Boston,8831
-71.09810293,42.3041345,"100 Jewish War Veterans Drive, Boston, MA",02124,PARKS-FRANKLIN-AP1,Boston,10836
-71.06195297,42.3009705,"11 Charles St., Dorchester, MA",02122,DOT-CLEVELAND-AP1,Dorchester,3605
-71.05197815,42.36138914,"110 Atlantic Ave., Boston, MA",02110,CP-COLUMBUS-AP1,Columbus Park,9230
-71.05144635,42.32906795,"1163 Columbia Rd., South  Boston, MA",02127,SB-CURLEY-AP3,South Boston,13635
-71.12108478,42.25638343,"1179 River St., Hyde Park, MA",02136,HP-COMMUNITY-AP2,Hyde Park,10432
-71.05139743,42.32946061,"1187 Columbia Rd., South Boston, MA",02127,SB-OLLIE-AP1,South Boston,13241
-71.12435277,42.25638388,"1249 Hyde Park Ave., Hyde Park, MA",02136,HP-BPDE18-AP4,Hyde Park,6027
-71.06880421,42.32745461,"125 Magazine St., Roxbury, MA",02119,ROX-MAGAZINE-AP2,Roxbury,3610
-71.08806348,42.31522687,"135 Humboldt Ave., Roxbury, MA",02121,ROX-TROTTER-AP1,Roxbury,3623
-71.0440921,42.33007312,"1406 Columbia Rd., South Boston, MA",02127,SB-HIGHSCHOOL-GSTREET-AP4,South Boston,14833
-71.07103427,42.32607835,"150 Norfolk Ave., Roxbury, MA",02119,ROX-MASON-AP1,Roxbury,3611
-71.03798915,42.36984835,"154 Maverick St., East Boston",02128,EB-154MAVERICK-AP1,East Boston,8031
-71.12249685,42.28751394,"160 Florence St., Roslindale, MA",02138,ROS-COMMUNITY-AP4,Roslindale,12831
-71.08240248,42.32893711,"174 Dudley St., Roxbury, MA",02119,ROX-BFDE14-AP1,Roxbury,13230
-71.08275653,42.32860794,"175 Dudley St., Roxbury, MA",02119,ROX-BFDE14-AP4,Roxbury,14030
-71.09795398,42.31838208,"1870 Columbus Ave., Roxbury, MA",02119,ROX-BFDE42-AP1,Roxbury,14031
-71.08065459,42.29658622,"189 Glenway St., Dorchester, MA",02121,DOT-GREENWOOD-AP1,Dorchester,3608
-71.09734609,42.31530555,"1990 Columbus Ave., Roxbury, MA",02119,ROX-EGLESTON-AP2,Roxbury,3626
-71.11514356,42.30875975,"20 South St, Jamaica Plain",02130,JP-Curtis Hall-BCYF-AP2,Jamaica Plain,15234
-71.03970408,42.36890386,"201 Sumner St, East Boston",02128,EB-MAVERICKSQUARE,East Boston,17236
-71.08508393,42.31631732,"205 Townsend St., Roxbury, MA",02121,ROX-BLA-AP1,Roxbury,3621
-71.03856443,42.368114,"239 Sumner St., East Boston, MA",02128,EB-ENGINE9-AP1,East Boston,10031
-71.06086944,42.3802111,"240 Medford St., Charlestown, MA",02129,CHL-HIGHSCHOOL-AP1,Charlestown,8430
-71.08424272,42.32835762,"2400 Washington St., Roxbury, MA",02119,ROX-BPDB2-AP1,Roxbury,13231
-71.14610407,42.34919075,"25 Warren St, Brighton MA",02135,AB-BRIGHTON-HIGH-AP1,Brighton,18435
-71.12122426,42.25730853,"26 Central Ave., Hyde Park, MA",02136,HP-CENTRAL-AP1,Hyde Park,11233
-71.12236327,42.25516829,"27 Maple St., Hyde Park, MA",02136,HP-MAPLE-AP1,Hyde Park,10034
-71.07478522,42.30887173,"270 Columbia Rd., Roxbury, MA",02121,ROX-FREDERICK-AP2,Roxbury,13235
-71.09028814,42.32222152,"2730 Washington St., Roxbury, MA",02119,ROX-SHELBOURNE-AP2,Roxbury,5232
-71.03961049,42.37653764,"276 Meridian St., East Boston, MA",02128,EB-BPL-AP1,East Boston,10430
-71.09454526,42.32034514,"2875 Washington St., Roxbury, MA",02119,ROX-COUNCIL-AP2,Roxbury,5229
-71.07677141,42.32663925,"339 Dudley St., Roxbury, MA",02119,ROX-VINE-AP3,Roxbury,3614
-71.0757695,42.31801665,"35 Brookford St., Roxbury, MA",02125,ROX-WINTHROP-AP3,Roxbury,3619
-71.12218985,42.25713781,"35 Harvard Ave., Hyde Park, MA",02136,HP-BPL-AP1,Hyde Park,10832
-71.07066118,42.29982849,"35 Westville St., Dorchester, MA",02124,DOT-MARSHALL-AP2,Dorchester,4007
-71.05260443,42.32989685,"360 Old Colony Ave., South Boston, MA",02125,SB-OLLIE-AP2,South Boston,13636
-71.13754912,42.35224962,"40 Armington St., Allston, MA",02134,AB-JACKSON-AP1,Allston Brighton,7630
-71.05920503,42.29797442,"40 Gibson St., Dorchester, MA",02122,DOT-BPDC11-AP1,Dorchester,3202
-71.07521522,42.29654762,"40 School St., Dorchester, MA",02124,DOT-HOLMES-AP1,Dorchester,3607
-71.08138004,42.30793355,"41 Geneva Ave., Roxbury, MA",02121,ROX-GROVEHALL-AP1,Roxbury,13238
-71.13174271,42.26848743,"420 West St., Hyde Park, MA",02136,PARKS-GEORGEWRIGHT-AP1,Hyde Park,10037
-71.1286116,42.28560284,"4246 Washington St., Roslindale MA",02131,ROS-BPL-AP1,Roslindale,12030
-71.16817528,42.35122457,"425 Faneuil St., Brighton, MA",02135,AB-OAKSQUARE-AP1,Brighton,8030
-71.13618164,42.35380191,"460 Cambridge St., Allston, MA",02134,AB-BFDE41-AP1,Allston,7230
-71.08296771,42.30866503,"476 Blue Hill Ave., Roxbury, MA",02121,ROX-GROVEHALL-AP7,Roxbury,14434
-71.0678022,42.31469869,"500 Columbia Rd., Dorchester, MA",02125,DOT-BPL-AP3,Dorchester,3203
-71.11748671,42.31585334,"507 Jamaicaway, Jamaica Plain, MA",02130,PARKS-JAMAICAPOND-AP1,Jamaica Plain,10040
-71.11558427,42.30823044,"55 South St, Jamaica Plain",02130,JP-Curtis Hall-BCYF-AP3,Jamaica Plain,15634
-71.1282495,42.28613364,"6 Cummings Highway, Roslindale, MA",02131,ROS-COMMUNITY-AP1,Roslindale,11631
-71.07272586,42.32355143,"6 Shirley St., Roxbury, MA",02119,ROX-EMERSON-AP2,Roxbury,3613
-71.11977914,42.25506146,"60 Fairmount Ave., Hyde Park, MA",02136,HP-BFD48-AP1,Hyde Park,11230
-71.08127069,42.30698189,"60 Washington St., Dorchester, MA",02121,ROX-BURKE-AP1,Roxbury,13243
-71.06323371,42.31838143,"641 Columbia Rd., Dorchester, MA",02125,DOT-BFD21-AP1,Dorchester,3205
-71.08341096,42.3280116,"65 Warren St., Roxbury, MA",02119,ROX-BPL-AP2,Roxbury,13232
-71.08289331,42.3096584,"683 Warren St., Roxbury, MA",02121,ROX-GROVEHALL-AP4,Roxbury,13633
-71.03841026,42.37106903,"69 Paris St., East Boston MA",02128,EB-BPDA7-AP2,East Boston,8032
-71.03003244,42.33192779,"745 E. 7th St., South Boston, MA",02127,SB-PERRY-AP2,South Boston,13242
-71.11453964,42.31051775,"746 Centre St, Jamaica Plain",02130,JP-BFDE28-AP2,Jamaica Plain,18035
-71.1152111,42.31002577,"761 Centre St, Jamaica Plain",02130,JP-BFD28-AP3,Jamaica Plain,18036
-71.07642169,42.31115385,"77 Lawrence Ave., Roxbury, MA",02121,ROX-MLKSCHOOL-AP3,Roxbury,4406
-71.06343194,42.30377602,"77 Mt. Ida Rd., Dorchester, MA",02122,DOT-MTIDA-AP1,Dorchester,3212
-71.08177681,42.31022806,"8 Stanwood St., Roxbury, MA",02121,ROX-GROVEHALL-AP6,Roxbury,14433
-71.09938869,42.3191397,"85 Bradgon St., Roxbury, MA",02119,ROX-BRAGDON-AP1,Roxbury,13234
-71.07387168,42.30548124,"85 Olney St., Dorchester, MA",02121,DOT-HOLLAND-AP1,Dorchester,3209
-71.06166031,42.30515979,"88-98 Linden St., Dorchester, MA",02122,DOT-LINDEN-AP1,Dorchester,3606
-71.07772778,42.33047266,"906 Albany St., Roxbury, MA",02119,ROX-ORCHARD-AP1,Roxbury,3615
-71.04506842,42.33252393,"95 G St., South Boston, MA",02127,SB-HIGHSCHOOL-AP1,South Boston,14439
-71.07004218,42.31352079,"Bird St. & Glendale St., Dorchester, MA",02125,DOT-BPL-AP6,Dorchester,13245
-71.06551582,42.35583966,"Boston Common, Boston, MA",02111,PARKS-FROGPOND-AP1,Boston,10035
-71.07320815,42.30956057,"Columbia Terrace & Columbia Rd., Roxbury, MA",02121,ROX-FREDERICK-AP4,Roxbury,13237
-71.05276275,42.36090948,"Cross St. & Atlantic St., Boston, MA",02110,CP-GREENWAY-AP1,Downtown,5627
-71.07500234,42.32282145,"Dennis St. & Winthrop St., Roxbury, MA",02119,ROX-EMERSON-AP3,Roxbury,13632
-71.07614778,42.3075824,"Devon St. & Columbia Rd., Roxbury, MA",02121,ROX-FREDERICK-AP3,Roxbury,13236
-71.05384135,42.35995336,"Faneuil Hall Square, Boston, MA",02109,DT-QUINCYMARKET-AP3,Boston,3629
-71.02482895,42.33307386,"Farragut Rd. & Day Blvd., South Boston, MA",02127,SB-PERRY-AP3,South Boston,14443
-71.12575829,42.28864618,"Firth St. & Washington St., Roslindale, MA",02131,ROS-COMMUNITY-AP3,Roslindale,6427
-71.09100819,42.31544155,"Harold St. & Waumbeck St., Roxbury, MA",02121,ROX-TROTTER-AP4,Roxbury,14036
-71.07439604,42.31063045,"Lawrence Ave. & Magnolia St., Roxbury, MA",02121,ROX-MLKSCHOOL-AP7,Roxbury,5623
-71.07771594,42.30643942,"Oldfields Rd. & Columbia Rd., Roxbury, MA",02121,ROX-GROVEHALL-AP8,Roxbury,14435
-71.08695167,42.32274624,"Rockland St., Roxbury, MA",02119,ROX-SHELBOURNE-AP3,Roxbury,5207
-71.08199675,42.31027963,"Sunderland St. & 429 Blue Hill Ave., Roxbury, MA",02121,ROX-GROVEHALL-AP5,Roxbury,13240
-71.08334123,42.32596515,"Warren St. & Moreland St., Roxbury, MA",02119,ROX-BPL-AP4,Roxbury,14033
-71.07640669,42.31416172,"Wayland St. & Balfour St., Roxbury, MA",02125,ROX-GROVEHALL-AP9,Roxbury,14436
